Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0078_Sed_Field_ICR-D_p2,3953,2427,720,38,745,158,144,158,285,50,129,88,21,321,144,38,1152,149,514
S19S_0078_Sed_Field_ICR-M_p2,3345,1932,521,27,656,137,75,161,229,55,71,80,16,259,99,34,864,123,457
S19S_0078_Sed_Field_ICR-U_p2,4024,2450,702,43,733,181,190,196,219,78,108,70,27,294,132,42,1227,166,492
S19S_0079_Sed_Field_ICR-D_p2,3484,1839,325,60,670,114,41,143,355,59,72,97,22,341,143,56,580,186,414
S19S_0079_Sed_Field_ICR-M_p2,3405,1913,449,30,667,127,56,159,251,58,116,110,19,306,102,51,752,159,414
S19S_0079_Sed_Field_ICR-U_p2,3477,1681,375,40,597,100,33,142,229,50,115,98,31,301,106,56,605,147,337
S19S_0080_Sed_Field_ICR-D_p2,4213,2716,795,35,783,236,200,227,231,85,124,80,26,329,182,50,1367,161,521
S19S_0080_Sed_Field_ICR-M_p2,3658,2248,646,36,602,183,141,157,330,67,86,101,51,293,175,86,1057,119,366
S19S_0080_Sed_Field_ICR-U_p2,3354,2039,645,33,588,163,109,143,236,57,65,77,31,289,117,57,892,104,472
S19S_0081_Sed_Field_ICR-M_p2,3911,2467,677,36,798,145,140,198,257,74,142,97,35,381,122,38,1122,204,468
S19S_0081_Sed_Field_ICR-U_p2,3256,1762,459,35,566,116,62,121,313,29,61,82,23,262,126,60,728,152,329
S19S_0082_Sed_Field_ICR-D_p2,3655,2374,899,21,588,224,167,125,244,37,69,98,31,375,290,31,999,123,427
S19S_0082_Sed_Field_ICR-M_p2,3917,2637,1083,29,613,208,177,161,241,49,76,87,23,438,443,42,1023,111,470
S19S_0082_Sed_Field_ICR-U_p2,3571,2053,686,34,576,138,110,124,260,49,76,93,36,364,223,39,767,147,384
S19S_0083_Sed_Field_ICR-D_p2,3798,2238,533,37,700,203,127,158,304,66,110,86,41,335,177,55,959,154,431
